keys,en,es,ja,ca
OUTRO_DIALOG_3,From now on you are a real FCI member! ,¡Desde ahora eres un verdadero miembro de la FCI!,今日からあなたは本物のFCIメンバーだ！,Des d'ara ets un veritable membre de la FCI
OUTRO_DIALOG_4,Thank you fairies!,¡Gracias hadas!,ありがとう妖精さんたち！,Gràcies fades!
OUTRO_DIALOG_5,Now the farm is tidy and the work done,Ahora la granja está ordenada y el trabajo terminado,これで農場はきれいになって、仕事も終わった！,Ara la granja està endreçada i el treball enllestit
OUTRO_DIALOG_6,My parents can rest and trust me with the farm,Mis padres pueden descansar y confiarme la granja tranquilamente,両親も休んで赤ちゃんの世話ができるね！,Els meus pares poden descansar i confiar-me la granja tranquil·lament
OUTRO_DIALOG_7,It was a pleasure to help!,¡Fue un placer ayudar!,手伝えてうれしかった！,Ha estat un plaer ajudar-te!
OUTRO_DIALOG_8,We have to go to help other children but remember...,Tenemos que irnos a ayudar a otros niños. Pero recuerda...,私たちは他の子どもたちを助けに行かなきゃ。でも覚えておいて。。。,Hem de marxar i ajudar a altres nens. Però recorda...
OUTRO_DIALOG_9,The FCI will be there when you need help!,¡La FCI estará ahí siempre que necesites ayuda!,助けが必要なときはFCIがそばにいるよ！,La FCI estarà a la teva disposició sempre que ens necessitis!
OUTRO_DIALOG_10,Goodbye little fairies! Thank you!,¡Adiós pequeñas hadas! ¡Gracias!,さようなら妖精さんたち！ありがとう！,"Adéu petites fades, moltes gràcies"
TASK_MINIGAME_0,Where are my eggs?,¿Dónde estan mis huevos?,たまごはどこ？,On són els ous?
TASK_MINIGAME_1,Apple rain,Lluvia de manzanas,アップルレイン,Pluja de pomes
TASK_MINIGAME_2,Hit'mole,Dale al topo,モグラたたき,Fot-li al talp
MINIGAME_0_DIALOG_0,Gather the eggs!,¡Recoge los huevos!,たまごを集めて！,Recull els ous!
MINIGAME_0_DIALOG_1,Be careful with the colors!,¡Ten cuidado con los colores!,色に気をつけて！,Ves amb compte amb els colors!
MINIGAME_0_DIALOG_2,Gather 10 eggs on each basket!,¡Consigue 10 huevos en cada cesta!,それぞれのかごにたまごを10こ集めて！,Aconsegueix 10 ous per cada cistell
MINIGAME_0_DIALOG_3,Good work! Back to the ranch!,¡Buen trabajo! ¡Volvamos al rancho!,よくできた！牧場にもどろう！,Ben fet! Tornem a la granja
MINIGAME_1_DIALOG_0,Gather the falling apples,Recoge las manzanas que se caen,落ちてくるりんごを集めて！,Recull les pomes que cauen
MINIGAME_1_DIALOG_1,Avoid the bad apples and the branches!,¡Ten cuidado con los colores!,悪いりんごと枝をよけて！,Evita les branques i les pomes amb cucs!
MINIGAME_1_DIALOG_2,Gather 15 apples for the cake!,¡Consigue 15 manzanas para la tarta!,ケーキのためにりんごを15こ集めて！,Aconsegueix 15 pomes per fer un pastís!
MINIGAME_1_DIALOG_3,Wonderful! Now we can bake the cake!,¡Maravilloso! ¡Ya podemos hacer la tarta!,すばらしい！これでケーキが作れる！,Meravellós! Ja podem cuinar el pastís!
MINIGAME_2_DIALOG_0,The moles are trying to steal the vegetables!,¡Los topos están intentando robar las verduras!,モグラたちが野菜を盗もうとしている！,Els talps volen treure'ns les verdures!
MINIGAME_2_DIALOG_1,Avoid it by giving them a smash!,¡Evítalo golpeándolos!,出てきたら叩いて止めよう！,Evita-ho donant-los un cop!
MINIGAME_2_DIALOG_2,But only when they show their head!,¡Pero solo cuando saquen la cabeza!,でも、頭を出したときだけ叩けるよ！,Però només quan treguin el cap
MINIGAME_2_DIALOG_3,"Oh, no! Let's try again!","¡Oh, no! ¡Intentémoslo otra vez!",ああ！もう一度やってみよう！,"Oh, no! Tornem a intentar-ho!"
MINIGAME_2_DIALOG_4,You protected the vegetables!,¡Has protegido las verduras!,野菜を守ったね！,Has protegit les verdures!
MINIGAME_READY,Ready? Go!,¿Listo? ¡Vamos!,準備はいい？スタート！,"Preparats, llestos, ja!"
